id,name,nameDisplay,abv,isOrganic,isRetired,createDate,updateDate,glass.name,style.category.name,style.category.createDate,style.name,style.shortName,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,ibu,available.name,year,style.ogMax,srm.name,servingTemperature,style.category.updateDate
c4f2KE,'Murican Pilsner,'Murican Pilsner,5.5,N,N,2013-08-19 11:58:12,2018-11-02 02:15:14,Pilsner,North American Lager,2012-03-21 20:06:46,American-Style Pilsener,American Pilsener,25.0,40.0,5.0,6.0,3.0,6.0,1.045,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:40:08,,,,,,,
zTTWa2,11.5° PLATO,11.5° PLATO,4.5,N,N,2016-08-09 14:44:42,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Session India Pale Ale,Session IPA,,,,,,,,,,2015-04-07 17:07:27,,35.0,,,,,,
zfP2fK,12th Of Never,12th Of Never,5.5,N,N,2016-08-03 23:25:54,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,30.0,42.0,4.5,5.6,6.0,14.0,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,45.0,Year Round,,,,,
xwYSL2,15th Anniversary Ale,15th Anniversary Ale,,N,N,2015-04-16 15:44:15,2018-11-02 02:15:14,,British Origin Ales,2012-03-21 20:06:45,Extra Special Bitter,ESB,30.0,45.0,4.8,5.8,8.0,14.0,1.046,1.01,1.016,2012-03-21 20:06:45,2015-04-07 15:19:20,,,,,,,
UJGpVS,16 So Fine Red Wheat Wine,16 So Fine Red Wheat Wine,11.0,N,N,2013-02-24 16:31:05,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Wheat Wine Ale,Wheatwine,45.0,85.0,8.4,12.0,8.0,15.0,1.088,1.024,1.032,2012-03-21 20:06:46,2015-04-07 15:27:17,,,,,,,
vz5JZ1,1794 The Fergal Project,1794 The Fergal Project,4.5,N,N,2018-04-29 16:55:00,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Stout,American Stout,35.0,60.0,5.7,8.8,40.0,40.0,1.05,1.01,1.022,2012-03-21 20:06:46,2015-04-07 15:28:43,,,,,,,
LcpeBb,17th Saison,17th Saison,9.0,N,N,2015-04-16 15:43:03,2018-11-02 02:15:14,,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,20.0,40.0,4.5,8.5,4.0,14.0,1.055,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:34:55,,,,,,,
Yd8G8r,18th Anniversary Belgian Tripel,18th Anniversary Belgian Tripel,10.0,N,N,2015-04-15 20:02:48,2018-11-02 02:15:14,,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Tripel,Belgian Tripel,20.0,45.0,7.0,10.0,4.0,9.0,1.07,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:31:50,17.0,,,,,,
iJ329Y,19 - Golden Belgian Style Ale,19 - Golden Belgian Style Ale,7.0,N,N,2017-09-06 14:34:39,2018-11-02 02:15:14,,Hybrid/mixed Beer,2012-03-21 20:06:46,Wood- and Barrel-Aged Strong Beer,BBL Aged Strong,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:46:50,,Limited,,,,,
O78ldO,1904 American Red Lager,1904 American Red Lager,5.0,N,N,2017-06-19 14:11:51,2018-11-02 02:15:14,,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,5.0,13.0,3.8,5.0,2.0,4.0,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,,,,,,,
qGDeH1,2 x 4,2 x 4,8.7,N,N,2012-01-03 02:42:37,2018-11-02 02:15:14,Pint,Belgian And French Origin Ales,2012-03-21 20:06:46,Other Belgian-Style Ales,Belgian Ale,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:33:05,,,,,,,
MgdJep,200th Anniversary Export Stout,200th Anniversary Export Stout,6.0,N,N,2017-09-11 16:56:19,2018-11-02 02:15:14,,Irish Origin Ales,2012-03-21 20:06:45,Foreign (Export)-Style Stout,Export Stout,30.0,60.0,5.7,9.3,40.0,40.0,1.052,1.008,1.02,2012-03-21 20:06:45,2015-04-07 15:23:58,,,,,,,
ISTT06,2017 Beer Camp,2017 Beer Camp (2017),6.5,N,N,2017-04-11 15:29:50,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,50.0,70.0,6.3,7.5,6.0,14.0,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,50.0,,2017.0,,,,
v4KRep,20th Anniversary Imperial Hash IPA on Brett,20th Anniversary Imperial Hash IPA on Brett,9.0,N,N,2017-02-18 19:42:40,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,65.0,100.0,7.5,10.5,5.0,13.0,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,81.0,,,,,,
uIgENV,20th Street Ale Citra,20th Street Ale Citra,7.3,N,N,2012-11-17 14:40:19,2018-11-02 02:15:14,Pint,,,,,,,,,,,,,,,,,,,,,,
WcP2Ww,20th Street Ale Crystal,20th Street Ale Crystal,7.3,N,N,2012-11-17 14:40:35,2018-11-02 02:15:14,,,,,,,,,,,,,,,,,,,,,,,
HyxQE4,20th Street Ale Magnum,20th Street Ale Magnum,7.3,N,N,2012-11-17 14:40:02,2018-11-02 02:15:14,,,,,,,,,,,,,,,,,,,,,,,
e9sjBk,21st Anniversary,21st Anniversary,7.9,N,N,2018-04-17 19:19:15,2018-11-02 02:15:14,,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Flanders Oud Bruin or Oud Red Ales,Flanders Red,15.0,25.0,4.8,6.5,12.0,20.0,1.044,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:31:39,7.0,,,,,,
