id,name,nameDisplay,abv,isRetired,createDate,updateDate,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,style.ogMax,ibu,available.name,available.description,Brewery,year,style.category.description,style.category.updateDate,Average ABV,Average IBU
rf3USP,21A IPA,21A IPA,7.2,N,1/3/12 2:42,3/22/12 13:04,North American Origin Ales,3/21/12 20:06,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,3/21/12 20:06,4/7/15 15:26,,,,,21st Amendment,,,,,
DTJaHy,5 South,5 South,,N,2/21/17 9:19,5/4/17 15:35,North American Origin Ales,3/21/12 20:06,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,3/21/12 20:06,4/7/15 15:25,,,,,21st Amendment,,,,,
6IV6lH,563 Stout,563 Stout,5,N,1/3/12 2:42,10/13/14 18:54,North American Origin Ales,3/21/12 20:06,American-Style Stout,American Stout,"Initial low to medium malt sweetness with a degree of caramel, chocolate and/or roasted coffee flavor with a distinctive dryroasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight roasted malt acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Hop bitterness may be moderate to high. Hop aroma and flavor is moderate to high, often with American citrus-type and/or resiny hop character. The perception of fruity esters is low. Roasted malt/barley astringency may be low but not excessive. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",35,60,5.7,8.8,40,40,1.05,1.01,1.022,3/21/12 20:06,4/7/15 15:28,,,,,21st Amendment,,,,,
2qPP4k,A Terrible Idea,A Terrible Idea,,N,9/5/18 17:18,9/6/18 5:00,North American Origin Ales,3/21/12 20:06,Juicy or Hazy India Pale Ale,Juicy or Hazy IPA,"Color: Straw to deep gold

Clarity: Low to very high degree of cloudiness is typical of these beers. Starch, yeast, hop, protein and/or other compounds contribute to a wide range of hazy appearance within this category.

Perceived Malt Aroma & Flavor: Low to low-medium malt aroma and flavor may be present

Perceived Hop Aroma & Flavor: Medium-high to very high hop aroma and flavor are present, with attributes typical of hops from any origin

Perceived Bitterness: Medium-low to medium

Fermentation Characteristics: Low to medium fruity-estery aroma and ﬂavor may be present, but are usually overwhelmed by hop fruitiness. Diacetyl should not be perceived.

Body: Medium-low to medium-high. Perceived silky or full mouthfeel may contribute to overall flavor profile.

Additional notes: Grist may include a small amount of oat, wheat or other adjuncts to promote haziness. Descriptors such as “juicy” are often used to describe the taste and aroma hop-derived attributes present in these beers.",50,70,6.3,7.5,4,7,1.06,1.008,1.016,8/16/18 14:03,,1.07,,,,21st Amendment,,,,,
8PgW0r,Allies Win The War!,Allies Win The War!,8.5,N,9/9/12 21:41,12/16/15 17:57,British Origin Ales,3/21/12 20:06,Strong Ale,Strong Ale,"Light amber to mid-range brown in color, strong ales are medium to full bodied with a malty sweetness and may have low levels of roast malt character. Hop aroma should be minimal and flavor can vary from none to medium in character intensity. Fruity-ester flavors and aromas can contribute to the character of this ale. Bitterness should be minimal but evident and balanced with malt and/or caramel-like sweetness. Alcohol types can be varied and complex. A rich, often sweet and complex estery character may be evident. Very low levels of diacetyl are acceptable. Chill haze is acceptable at low temperatures. (This style may often be split into two categories, strong and very strong.)",30,65,7,11,8,21,1.06,1.014,1.04,3/21/12 20:06,4/7/15 15:21,,52,Limited,Limited availability.,21st Amendment,,,,,
K4iku8,Almond Milk Porter,Almond Milk Porter,7.6,N,11/22/13 12:44,12/17/15 8:05,British Origin Ales,3/21/12 20:06,Brown Porter,Brown Porter,"Brown porters are mid to dark brown (may have red tint) in color. No roast barley or strong burnt/black malt character should be perceived. Low to medium malt sweetness, caramel and chocolate is acceptable along with medium hop bitterness. This is a lightto medium-bodied beer. Fruity esters are acceptable. Hop flavor and aroma may vary from being negligible to medium in character.",20,30,4.5,6,20,35,1.04,1.006,1.014,3/21/12 20:06,4/7/15 15:21,,,,,21st Amendment,,,,,
OOAFqf,Amendment Pale Ale,Amendment Pale Ale,5.2,N,1/3/12 2:42,3/22/12 13:04,North American Origin Ales,3/21/12 20:06,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,3/21/12 20:06,4/7/15 15:25,,,,,21st Amendment,,,,,
rAxEUb,Baby Horse,Baby Horse,11.8,N,1/1/15 22:53,1/15/15 19:07,Belgian And French Origin Ales,3/21/12 20:06,Belgian-Style Quadrupel,Belgian Quad,"Quadrupels or ""Quads"" are characterized by the immense presence of alcohol and balanced flavor, bitterness and aromas. Its color is deep amber to rich chestnut/garnet brown. Often characterized by a mousse-like dense, sometimes amber head will top off a properly poured and served quad. Complex fruity aroma and flavor emerge reminiscent of raisins, dates, figs, grapes, plums often accompanied with a hint of winy character. Caramel, dark sugar and malty sweet flavors and aromas can be intense, not cloying, while complementing fruitiness. Though well attenuated it usually has a full, creamy body. Hop characters do not dominate; low to low-medium bitterness is perceived. Perception of alcohol can be extreme. Clove-like phenolic flavor and aroma should not be evident. Chill haze is acceptable at low serving temperatures. Diacetyl and DMS should not be perceived. Well balanced with savoring/sipping drinkability. Oxidative character if evident in aged Quads should be mild and pleasant.",25,50,9,14,8,20,1.084,1.014,1.02,3/21/12 20:06,4/7/15 15:33,,,,,21st Amendment,,,,,
UD5Sm4,Back in Black,Back in Black,6.8,N,1/3/12 2:42,8/3/17 20:20,North American Origin Ales,3/21/12 20:06,American-Style Black Ale,Black Ale,"American-style Black Ales are very dark to black and perceived to have medium high to high hop bitterness, flavor and aroma with medium-high alcohol content, balanced with a medium body. Fruity, floral and herbal character from hops of all origins may contribute character. The style is further characterized by a balanced and moderate degree of caramel malt and dark roasted malt flavor and aroma. High astringency and high degree of burnt roast malt character should be absent.",50,70,6,7.5,35,35,1.056,1.012,1.018,3/21/12 20:06,4/7/15 15:28,,65,Year Round,Available year round as a staple beer.,21st Amendment,,,,,
5oOqnT,Belgian Chocolate Stout,Belgian Chocolate Stout,6.3,N,1/1/15 22:53,1/15/15 19:06,North American Origin Ales,3/21/12 20:06,Specialty Stouts,Stout,"See British Origin American-Style Imperial Porter Imperial porters are very dark brown to black in color. No roast barley or strong burnt/astringent black malt character should be perceived. Medium malt, caramel and cocoa-like sweetness should be in harmony with medium-low to medium hop bitterness. This is a full bodied beer. Ale-like fruity esters should be evident but not overpowering and compliment malt derived sweetness and hop character. Hop flavor and aroma may vary from being low to medium-high. Diacetyl (butterscotch) levels should be absent.",35,50,7,12,40,40,1.08,1.02,1.03,3/21/12 20:06,4/7/15 15:28,,50,,,21st Amendment,,,,,
