id,name,nameDisplay,abv,ibu,availableId,styleId,isRetired,status,statusDisplay,createDate,updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,available.id,available.name,available.description,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,style.ogMax,year
KgMb70,20 Pounds of Pumpkin,20 Pounds of Pumpkin,5.7,14,2.0,121,N,verified,Verified,2016-09-11 04:06:39,2019-06-28 14:47:18,https://brewerydb-images.s3.amazonaws.com/beer/KgMb70/upload_dL7wjw-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/KgMb70/upload_dL7wjw-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/KgMb70/upload_dL7wjw-large.png,https://brewerydb-images.s3.amazonaws.com/beer/KgMb70/upload_dL7wjw-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/KgMb70/upload_dL7wjw-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/KgMb70/upload_dL7wjw-contentAwareLarge.png,2.0,Limited,Limited availability.,121,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Pumpkin Beer,Pumpkin Beer,"Pumpkin beers are any beers using pumpkins (Cucurbito pepo) as an adjunct in either mash, kettle, primary or secondary fermentation, providing obvious (ranging from subtle to intense), yet harmonious, qualities. Pumpkin qualities should not be overpowered by hop character. These may or may not be spiced or flavored with other things. A statement by the brewer explaining the nature of the beer is essential for fair assessment in competitions. If this beer is a classic style with pumpkin, the brewer should also specify the classic style.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:28,,
QZL3uW,513,513,5.5,25,,93,N,verified,Verified,2017-03-31 19:15:48,2017-03-31 19:15:48,,,,,,,,,,93,8,8,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,,
wxkKYj,Autumn Saison,Autumn Saison,,,,72,N,verified,Verified,2014-04-09 11:14:55,2015-12-17 11:25:48,https://brewerydb-images.s3.amazonaws.com/beer/wxkKYj/upload_g54qkJ-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/wxkKYj/upload_g54qkJ-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/wxkKYj/upload_g54qkJ-large.png,https://brewerydb-images.s3.amazonaws.com/beer/wxkKYj/upload_g54qkJ-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/wxkKYj/upload_g54qkJ-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/wxkKYj/upload_g54qkJ-contentAwareLarge.png,,,,72,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",20,40,4.5,8.5,4,14,1.055,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:34:55,,
PdBP7Q,Backwoods Porter,Backwoods Porter,5.6,,,18,N,verified,Verified,2014-06-17 16:50:07,2015-12-17 14:46:11,https://brewerydb-images.s3.amazonaws.com/beer/PdBP7Q/upload_UINqjc-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/PdBP7Q/upload_UINqjc-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/PdBP7Q/upload_UINqjc-large.png,https://brewerydb-images.s3.amazonaws.com/beer/PdBP7Q/upload_UINqjc-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/PdBP7Q/upload_UINqjc-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/PdBP7Q/upload_UINqjc-contentAwareLarge.png,,,,18,1,1,British Origin Ales,2012-03-21 20:06:45,Brown Porter,Brown Porter,"Brown porters are mid to dark brown (may have red tint) in color. No roast barley or strong burnt/black malt character should be perceived. Low to medium malt sweetness, caramel and chocolate is acceptable along with medium hop bitterness. This is a lightto medium-bodied beer. Fruity esters are acceptable. Hop flavor and aroma may vary from being negligible to medium in character.",20,30,4.5,6,20,35,1.04,1.006,1.014,2012-03-21 20:06:45,2015-04-07 15:21:43,,
KUOVeU,Bavarian Lager,Bavarian Lager,5.5,18,,80,N,verified,Verified,2019-04-24 19:05:16,2019-04-24 19:06:24,https://brewerydb-images.s3.amazonaws.com/beer/KUOVeU/upload_q2BBOV-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/KUOVeU/upload_q2BBOV-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/KUOVeU/upload_q2BBOV-large.png,https://brewerydb-images.s3.amazonaws.com/beer/KUOVeU/upload_q2BBOV-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/KUOVeU/upload_q2BBOV-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/KUOVeU/upload_q2BBOV-contentAwareLarge.png,,,,80,7,7,European-germanic Lager,2012-03-21 20:06:46,Vienna-Style Lager,Vienna Lager,"Beers in this category are reddish brown or copper colored. They are medium in body. The beer is characterized by malty aroma and slight malt sweetness. The malt aroma and flavor should have a notable degree of toasted and/or slightly roasted malt character. Hop bitterness is clean and crisp. Noble-type hop aromas and flavors should be low or mild. Diacetyl, chill haze and ale-like fruity esters should not be perceived.",22,28,4.8,5.4,12,16,1.046,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:36:42,,
YCgc2u,Beantown Ale,Beantown Ale,5,,,18,N,verified,Verified,2012-10-31 11:08:14,2015-12-16 20:38:05,https://brewerydb-images.s3.amazonaws.com/beer/YCgc2u/upload_MzvuGZ-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/YCgc2u/upload_MzvuGZ-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/YCgc2u/upload_MzvuGZ-large.png,https://brewerydb-images.s3.amazonaws.com/beer/YCgc2u/upload_MzvuGZ-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/YCgc2u/upload_MzvuGZ-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/YCgc2u/upload_MzvuGZ-contentAwareLarge.png,,,,18,1,1,British Origin Ales,2012-03-21 20:06:45,Brown Porter,Brown Porter,"Brown porters are mid to dark brown (may have red tint) in color. No roast barley or strong burnt/black malt character should be perceived. Low to medium malt sweetness, caramel and chocolate is acceptable along with medium hop bitterness. This is a lightto medium-bodied beer. Fruity esters are acceptable. Hop flavor and aroma may vary from being negligible to medium in character.",20,30,4.5,6,20,35,1.04,1.006,1.014,2012-03-21 20:06:45,2015-04-07 15:21:43,,
OTKC0n,Berliner Weisse,Berliner Weisse,4.8,15,,46,N,verified,Verified,2017-06-27 15:49:39,2017-06-28 15:49:35,,,,,,,,,,46,4,4,German Origin Ales,2012-03-21 20:06:46,Berliner-Style Weisse (Wheat),Berlinerweisse,"This is very pale in color and the lightest of all the German wheat beers. The unique combination of yeast and lactic acid bacteria fermentation yields a beer that is acidic, highly attenuated, and very light bodied. The carbonation of a Berliner Weisse is high, and hop rates are very low. Clarity may be hazy or cloudy from yeast or chill haze. Hop character should not be perceived. Fruity esters will be evident. No diacetyl should be perceived.",3,6,2.8,3.4,2,4,1.028,1.004,1.006,2012-03-21 20:06:46,2015-04-07 15:29:14,,
S1LjD3,Black & Brew Coffee Stout,Black & Brew Coffee Stout,5.8,24,4.0,20,N,verified,Verified,2012-01-03 02:42:49,2015-12-16 11:28:11,https://brewerydb-images.s3.amazonaws.com/beer/S1LjD3/upload_DxQFOs-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/S1LjD3/upload_DxQFOs-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/S1LjD3/upload_DxQFOs-large.png,https://brewerydb-images.s3.amazonaws.com/beer/S1LjD3/upload_DxQFOs-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/S1LjD3/upload_DxQFOs-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/S1LjD3/upload_DxQFOs-contentAwareLarge.png,4.0,Seasonal,"Available at the same time of year, every year.",20,1,1,British Origin Ales,2012-03-21 20:06:45,Sweet or Cream Stout,Sweet Stout,"Sweet stouts, also referred to as cream stouts, have less roasted bitter flavor and a full-bodied mouthfeel. The style can be given more body with milk sugar (lactose) before bottling. Malt sweetness, chocolate, and caramel flavor should dominate the flavor profile and contribute to the aroma. Hops should balance and suppress some of the sweetness without contributing apparent flavor or aroma. The overall impression should be sweet and full-bodied.",15,25,3,6,40,40,1.045,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:24:41,,
KzCnu3,Black IPA,Black IPA,6.5,,,30,N,verified,Verified,2016-12-27 02:01:51,2017-04-25 16:28:29,,,,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,
JyHqx5,Blueberry Hill Lager,Blueberry Hill Lager,5.5,18,4.0,93,N,verified,Verified,2013-01-05 18:57:46,2015-12-16 22:54:03,https://brewerydb-images.s3.amazonaws.com/beer/JyHqx5/upload_EZ9eUO-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/JyHqx5/upload_EZ9eUO-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/JyHqx5/upload_EZ9eUO-large.png,https://brewerydb-images.s3.amazonaws.com/beer/JyHqx5/upload_EZ9eUO-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/JyHqx5/upload_EZ9eUO-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/JyHqx5/upload_EZ9eUO-contentAwareLarge.png,4.0,Seasonal,"Available at the same time of year, every year.",93,8,8,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,,
