id,name,nameDisplay,abv,availableId,styleId,isRetired,status,statusDisplay,createDate,updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,available.id,available.name,available.description,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,ibu
dbOQPP,Bohemia,Bohemia,5.3,1.0,97,N,verified,Verified,2012-01-03 02:42:52,2018-08-22 15:44:07,https://brewerydb-images.s3.amazonaws.com/beer/dbOQPP/upload_TAISuk-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/dbOQPP/upload_TAISuk-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/dbOQPP/upload_TAISuk-large.png,https://brewerydb-images.s3.amazonaws.com/beer/dbOQPP/upload_TAISuk-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/dbOQPP/upload_TAISuk-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/dbOQPP/upload_TAISuk-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,97,8,8,North American Lager,2012-03-21 20:06:46,American-Style Premium Lager,American Premium Lager,"This style has low malt (and adjunct) sweetness, is medium bodied, and should contain no or a low percentage (less than 25%) of adjuncts. Color may be light straw to golden. Alcohol content and bitterness may also be greater. Hop aroma and flavor is low or negligible. Light fruity esters are acceptable. Chill haze and diacetyl should be absent. Note: Some beers marketed as ""premium"" (based on price) may not fit this definition.",6,15,4.3,5,2,6,1.044,1.01,1.014,2012-03-21 20:06:46,2015-04-07 15:40:04,
omcVvl,Carta Blanca,Carta Blanca,,,97,N,verified,Verified,2012-01-03 02:42:57,2015-12-15 23:14:52,https://brewerydb-images.s3.amazonaws.com/beer/omcVvl/upload_pwIzA5-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/omcVvl/upload_pwIzA5-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/omcVvl/upload_pwIzA5-large.png,https://brewerydb-images.s3.amazonaws.com/beer/omcVvl/upload_pwIzA5-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/omcVvl/upload_pwIzA5-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/omcVvl/upload_pwIzA5-contentAwareLarge.png,,,,97,8,8,North American Lager,2012-03-21 20:06:46,American-Style Premium Lager,American Premium Lager,"This style has low malt (and adjunct) sweetness, is medium bodied, and should contain no or a low percentage (less than 25%) of adjuncts. Color may be light straw to golden. Alcohol content and bitterness may also be greater. Hop aroma and flavor is low or negligible. Light fruity esters are acceptable. Chill haze and diacetyl should be absent. Note: Some beers marketed as ""premium"" (based on price) may not fit this definition.",6,15,4.3,5,2,6,1.044,1.01,1.014,2012-03-21 20:06:46,2015-04-07 15:40:04,
s5lxSd,Dos Equis Amber,Dos Equis Amber,4.7,1.0,80,N,verified,Verified,2012-01-03 02:43:05,2016-03-07 18:49:28,https://brewerydb-images.s3.amazonaws.com/beer/s5lxSd/upload_xWfnP3-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/s5lxSd/upload_xWfnP3-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/s5lxSd/upload_xWfnP3-large.png,https://brewerydb-images.s3.amazonaws.com/beer/s5lxSd/upload_xWfnP3-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/s5lxSd/upload_xWfnP3-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/s5lxSd/upload_xWfnP3-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,80,7,7,European-germanic Lager,2012-03-21 20:06:46,Vienna-Style Lager,Vienna Lager,"Beers in this category are reddish brown or copper colored. They are medium in body. The beer is characterized by malty aroma and slight malt sweetness. The malt aroma and flavor should have a notable degree of toasted and/or slightly roasted malt character. Hop bitterness is clean and crisp. Noble-type hop aromas and flavors should be low or mild. Diacetyl, chill haze and ale-like fruity esters should not be perceived.",22,28,4.8,5.4,12,16,1.046,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:36:42,
UPUlc4,Dos Equis Lager Especial,Dos Equis Lager Especial,4.5,1.0,97,N,verified,Verified,2012-01-03 02:43:05,2018-07-26 20:47:32,https://brewerydb-images.s3.amazonaws.com/beer/UPUlc4/upload_RBgqd9-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/UPUlc4/upload_RBgqd9-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/UPUlc4/upload_RBgqd9-large.png,https://brewerydb-images.s3.amazonaws.com/beer/UPUlc4/upload_RBgqd9-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/UPUlc4/upload_RBgqd9-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/UPUlc4/upload_RBgqd9-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,97,8,8,North American Lager,2012-03-21 20:06:46,American-Style Premium Lager,American Premium Lager,"This style has low malt (and adjunct) sweetness, is medium bodied, and should contain no or a low percentage (less than 25%) of adjuncts. Color may be light straw to golden. Alcohol content and bitterness may also be greater. Hop aroma and flavor is low or negligible. Light fruity esters are acceptable. Chill haze and diacetyl should be absent. Note: Some beers marketed as ""premium"" (based on price) may not fit this definition.",6,15,4.3,5,2,6,1.044,1.01,1.014,2012-03-21 20:06:46,2015-04-07 15:40:04,10
5Emh0o,Dos Equis Mexican Pale Ale,Dos Equis Mexican Pale Ale,5.5,,73,N,verified,Verified,2018-12-05 21:00:17,2020-02-11 12:34:16,https://brewerydb-images.s3.amazonaws.com/beer/5Emh0o/upload_5LTd8g-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/5Emh0o/upload_5LTd8g-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/5Emh0o/upload_5LTd8g-large.png,https://brewerydb-images.s3.amazonaws.com/beer/5Emh0o/upload_5LTd8g-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/5Emh0o/upload_5LTd8g-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/5Emh0o/upload_5LTd8g-contentAwareLarge.png,,,,73,6,6,International Ale Styles,2012-03-21 20:06:46,International-Style Pale Ale,International Pale,"International-style pale ales range from deep golden to copper in color. The style is characterized by wide range of hop characters unlike fruity, floral and citrus-like American-variety hop character and unlike earthy, herbal English-variety hop character. Moderate to high hop bitterness, flavor, and aroma is evident. International pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.5,6,14,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:35:08,
8IjFvs,Indio Plata,Indio Plata,,,106,N,verified,Verified,2015-06-03 18:09:59,2018-08-22 15:39:03,,,,,,,,,,106,10,10,International Styles,2012-03-21 20:06:46,International-Style Pilsener,International Pilsener,"International Pilseners are straw/golden in color and are well attenuated. This medium-bodied beer is often brewed with rice, corn, wheat, or other grain or sugar adjuncts making up part of the mash. Hop bitterness is low to medium. Hop flavor and aroma are low. Residual malt sweetness is low--it does not predominate but may be perceived. Fruity esters and diacetyl should not be perceived. Very low levels of sweet corn-like dimethylsulfide (DMS) character, if perceived, are acceptable. There should be no chill haze.",17,30,4.5,5.3,3,4,1.044,1.008,1.01,2012-03-21 20:06:46,2015-04-07 15:42:11,
bLbQyH,Noche Buena Special Holiday Amber Beer,Noche Buena Special Holiday Amber Beer,,,97,N,verified,Verified,2012-01-03 02:43:46,2014-10-07 18:33:58,,,,,,,,,,97,8,8,North American Lager,2012-03-21 20:06:46,American-Style Premium Lager,American Premium Lager,"This style has low malt (and adjunct) sweetness, is medium bodied, and should contain no or a low percentage (less than 25%) of adjuncts. Color may be light straw to golden. Alcohol content and bitterness may also be greater. Hop aroma and flavor is low or negligible. Light fruity esters are acceptable. Chill haze and diacetyl should be absent. Note: Some beers marketed as ""premium"" (based on price) may not fit this definition.",6,15,4.3,5,2,6,1.044,1.01,1.014,2012-03-21 20:06:46,2015-04-07 15:40:04,
4ap3mq,Sol,Sol,4.5,1.0,97,N,verified,Verified,2012-01-03 02:42:58,2019-07-12 15:06:21,https://brewerydb-images.s3.amazonaws.com/beer/4ap3mq/upload_TcG7Kx-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/4ap3mq/upload_TcG7Kx-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/4ap3mq/upload_TcG7Kx-large.png,https://brewerydb-images.s3.amazonaws.com/beer/4ap3mq/upload_TcG7Kx-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/4ap3mq/upload_TcG7Kx-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/4ap3mq/upload_TcG7Kx-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,97,8,8,North American Lager,2012-03-21 20:06:46,American-Style Premium Lager,American Premium Lager,"This style has low malt (and adjunct) sweetness, is medium bodied, and should contain no or a low percentage (less than 25%) of adjuncts. Color may be light straw to golden. Alcohol content and bitterness may also be greater. Hop aroma and flavor is low or negligible. Light fruity esters are acceptable. Chill haze and diacetyl should be absent. Note: Some beers marketed as ""premium"" (based on price) may not fit this definition.",6,15,4.3,5,2,6,1.044,1.01,1.014,2012-03-21 20:06:46,2015-04-07 15:40:04,
IPhAuu,Tecate,Tecate,4.5,1.0,97,N,verified,Verified,2012-01-03 02:44:21,2017-10-10 02:36:22,https://brewerydb-images.s3.amazonaws.com/beer/IPhAuu/upload_n1ctvE-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/IPhAuu/upload_n1ctvE-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/IPhAuu/upload_n1ctvE-large.png,https://brewerydb-images.s3.amazonaws.com/beer/IPhAuu/upload_n1ctvE-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/IPhAuu/upload_n1ctvE-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/IPhAuu/upload_n1ctvE-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,97,8,8,North American Lager,2012-03-21 20:06:46,American-Style Premium Lager,American Premium Lager,"This style has low malt (and adjunct) sweetness, is medium bodied, and should contain no or a low percentage (less than 25%) of adjuncts. Color may be light straw to golden. Alcohol content and bitterness may also be greater. Hop aroma and flavor is low or negligible. Light fruity esters are acceptable. Chill haze and diacetyl should be absent. Note: Some beers marketed as ""premium"" (based on price) may not fit this definition.",6,15,4.3,5,2,6,1.044,1.01,1.014,2012-03-21 20:06:46,2015-04-07 15:40:04,
TOCZJl,Tecate Light,Tecate Light,3.7,,94,N,verified,Verified,2016-10-16 15:37:13,2020-05-04 21:21:19,https://brewerydb-images.s3.amazonaws.com/beer/TOCZJl/upload_SSlmH6-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/TOCZJl/upload_SSlmH6-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/TOCZJl/upload_SSlmH6-large.png,https://brewerydb-images.s3.amazonaws.com/beer/TOCZJl/upload_SSlmH6-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/TOCZJl/upload_SSlmH6-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/TOCZJl/upload_SSlmH6-contentAwareLarge.png,,,,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,
