id,name,nameDisplay,abv,availableId,styleId,isRetired,status,statusDisplay,createDate,updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,available.id,available.name,available.description,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,style.ogMax,ibu,style.category.description,style.category.updateDate
FK7ZZt,Batch 19,Batch 19,5.5,1.0,93,N,verified,Verified,2012-09-08 23:20:31,2019-07-10 18:00:16,https://brewerydb-images.s3.amazonaws.com/beer/FK7ZZt/upload_idJYDQ-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/FK7ZZt/upload_idJYDQ-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/FK7ZZt/upload_idJYDQ-large.png,https://brewerydb-images.s3.amazonaws.com/beer/FK7ZZt/upload_idJYDQ-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/FK7ZZt/upload_idJYDQ-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/FK7ZZt/upload_idJYDQ-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,93,8,8,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,,,,
QvaLLl,Chimp,Chimp,9.5,,114,N,verified,Verified,2013-02-08 12:13:05,2015-12-16 23:38:59,https://brewerydb-images.s3.amazonaws.com/beer/QvaLLl/upload_MVBIqb-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/QvaLLl/upload_MVBIqb-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/QvaLLl/upload_MVBIqb-large.png,https://brewerydb-images.s3.amazonaws.com/beer/QvaLLl/upload_MVBIqb-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/QvaLLl/upload_MVBIqb-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/QvaLLl/upload_MVBIqb-contentAwareLarge.png,,,,114,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Fruit Wheat Ale or Lager with or without Yeast,Fruit Wheat Ale,"This beer can be made using either ale or lager yeast. It can be brewed with 30 to 75 percent malted wheat. Fruit or fruit extracts contribute flavor and/or aroma. Perceived fruit qualities should be authentic and replicate true fruit complexity as much as possible. Color should reflect a degree of fruit's color. Hop rates may be low to medium. Hop characters may be light to moderate in bitterness, flavor and aroma. Fruity-estery aroma and flavor from yeast can be typical but at low levels; however, phenolic, clovelike characteristics should not be perceived. Body should be light to medium in character. Diacetyl should not be perceived. When this style is served with yeast the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Chill haze is also acceptable. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of malt and hops. Brewer may indicate on the bottle whether the yeast should be intentionally roused or if they prefer that the entry be poured as quietly as possible.",10,35,3.8,5,2,10,1.036,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:43:55,,,,
vJCXKD,Coors Banquet,Coors Banquet,5,1.0,94,N,verified,Verified,2012-01-03 02:43:01,2019-07-10 18:35:14,https://brewerydb-images.s3.amazonaws.com/beer/vJCXKD/upload_RTwTup-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/vJCXKD/upload_RTwTup-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/vJCXKD/upload_RTwTup-large.png,https://brewerydb-images.s3.amazonaws.com/beer/vJCXKD/upload_RTwTup-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/vJCXKD/upload_RTwTup-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/vJCXKD/upload_RTwTup-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,,,,
XcvLTe,Coors Light,Coors Light,4.2,1.0,94,N,verified,Verified,2012-01-03 02:43:01,2019-07-10 18:36:20,https://brewerydb-images.s3.amazonaws.com/beer/XcvLTe/upload_Kk2S5t-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/XcvLTe/upload_Kk2S5t-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/XcvLTe/upload_Kk2S5t-large.png,https://brewerydb-images.s3.amazonaws.com/beer/XcvLTe/upload_Kk2S5t-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/XcvLTe/upload_Kk2S5t-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/XcvLTe/upload_Kk2S5t-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,,,,
fmNYJR,Coors Light Summer Brew,Coors Light Summer Brew,3.9,,119,N,verified,Verified,2014-06-16 15:05:07,2014-06-16 21:42:05,,,,,,,,,,119,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Fruit Beer,Fruit Beer,"Fruit beers are any beers using fruit or fruit extracts as an adjunct in either, the mash, kettle, primary or secondary fermentation providing obvious (ranging from subtle to intense), yet harmonious, fruit qualities. Fruit qualities should not be overpowered by hop character. If a fruit (such as juniper berry) has an herbal or spice quality, it is more appropriate to consider it in the herb and spice beers category. Acidic bacterial (not wild yeast) fermentation characters may be evident (but not necessary) they would contribute to acidity and enhance fruity balance. Clear or hazy beer is acceptable in appearance. A statement by the brewer explaining what fruits are used is essential in order for fair assessment in competitions. If this beer is a classic style with fruit, the brewer should also specify the classic style.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:21,,,,
SpL1C5,Coors Non-Alcoholic,Coors Non-Alcoholic,0.5,1.0,139,N,verified,Verified,2018-10-08 20:18:08,2019-07-10 18:37:04,https://brewerydb-images.s3.amazonaws.com/beer/SpL1C5/upload_WvZ0D6-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/SpL1C5/upload_WvZ0D6-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/SpL1C5/upload_WvZ0D6-large.png,https://brewerydb-images.s3.amazonaws.com/beer/SpL1C5/upload_WvZ0D6-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/SpL1C5/upload_WvZ0D6-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/SpL1C5/upload_WvZ0D6-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,139,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Non-Alcoholic (Beer) Malt Beverages,Non-Alcoholic,Non-alcoholic (NA) malt beverages should emulate the character of a previously listed category/subcategory designation but without the alcohol (less than 0.5 percent). Non-alcoholic (beer) malt beverages will inherently have a profile lacking the complexity and balance of flavors which can be attributed to alcohol. They should accordingly not be assessed negatively for reasons related to the absence of alcohol.,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:47:18,,,,
aHVeuA,Country Club,Country Club,5.86,1.0,100,N,verified,Verified,2012-08-03 03:24:18,2014-04-18 13:43:29,,,,,,,1.0,Year Round,Available year round as a staple beer.,100,8,8,North American Lager,2012-03-21 20:06:46,American-Style Malt Liquor,Malt Liquor,"High in starting gravity and alcoholic strength, this style is somewhat diverse. Some American malt liquors are just slightly stronger than American lagers, while others approach bock strength. Some residual sweetness is perceived. Hop rates are very low, contributing little bitterness and virtually no hop aroma or flavor. Perception of sweet-fruity esters and complex alcohols (though not solvent-like) are acceptable at low levels. Chill haze and diacetyl should not be perceived.",12,23,6.25,7.5,2,5,1.05,1.004,1.01,2012-03-21 20:06:46,2015-04-07 15:41:16,,,,
dM6P39,Crimson Crossing,Crimson Crossing,,,116,N,verified,Verified,2013-02-24 16:21:41,2020-02-19 00:59:21,https://brewerydb-images.s3.amazonaws.com/beer/dM6P39/upload_BdMHTb-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/dM6P39/upload_BdMHTb-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/dM6P39/upload_BdMHTb-large.png,https://brewerydb-images.s3.amazonaws.com/beer/dM6P39/upload_BdMHTb-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/dM6P39/upload_BdMHTb-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/dM6P39/upload_BdMHTb-contentAwareLarge.png,,,,116,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,American-Style Wheat Beer,Wheat Ale,These beers can be fermented with either ale or lager yeast. The grist should include at least 30 percent malted wheat.,10,35,3.5,5.6,2,10,1.036,1.004,1.016,2012-03-21 20:06:46,2020-02-19 00:55:12,1.056,,,
9we9d5,Extra Gold Lager,Extra Gold Lager,5,1.0,97,N,verified,Verified,2012-01-03 02:43:01,2019-07-10 18:48:42,https://brewerydb-images.s3.amazonaws.com/beer/9we9d5/upload_DTmYWo-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/9we9d5/upload_DTmYWo-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/9we9d5/upload_DTmYWo-large.png,https://brewerydb-images.s3.amazonaws.com/beer/9we9d5/upload_DTmYWo-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/9we9d5/upload_DTmYWo-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/9we9d5/upload_DTmYWo-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,97,8,8,North American Lager,2012-03-21 20:06:46,American-Style Premium Lager,American Premium Lager,"This style has low malt (and adjunct) sweetness, is medium bodied, and should contain no or a low percentage (less than 25%) of adjuncts. Color may be light straw to golden. Alcohol content and bitterness may also be greater. Hop aroma and flavor is low or negligible. Light fruity esters are acceptable. Chill haze and diacetyl should be absent. Note: Some beers marketed as ""premium"" (based on price) may not fit this definition.",6,15,4.3,5,2,6,1.044,1.01,1.014,2012-03-21 20:06:46,2015-04-07 15:40:04,,,,
LeII8L,Golden Knot,Golden Knot,,,116,N,verified,Verified,2013-02-14 14:18:14,2020-02-19 00:59:20,https://brewerydb-images.s3.amazonaws.com/beer/LeII8L/upload_6dQnPT-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/LeII8L/upload_6dQnPT-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/LeII8L/upload_6dQnPT-large.png,https://brewerydb-images.s3.amazonaws.com/beer/LeII8L/upload_6dQnPT-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/LeII8L/upload_6dQnPT-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/LeII8L/upload_6dQnPT-contentAwareLarge.png,,,,116,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,American-Style Wheat Beer,Wheat Ale,These beers can be fermented with either ale or lager yeast. The grist should include at least 30 percent malted wheat.,10,35,3.5,5.6,2,10,1.036,1.004,1.016,2012-03-21 20:06:46,2020-02-19 00:55:12,1.056,,,
