id,name,nameDisplay,abv,availableId,styleId,isRetired,status,statusDisplay,createDate,updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,available.id,available.name,available.description,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,ibu
FW35fB,High Life Light,High Life Light,4.1,1.0,94,N,verified,Verified,2012-08-27 20:48:12,2019-07-10 19:17:54,https://brewerydb-images.s3.amazonaws.com/beer/FW35fB/upload_IbDFzp-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/FW35fB/upload_IbDFzp-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/FW35fB/upload_IbDFzp-large.png,https://brewerydb-images.s3.amazonaws.com/beer/FW35fB/upload_IbDFzp-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/FW35fB/upload_IbDFzp-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/FW35fB/upload_IbDFzp-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,
qORz7E,Mickey's,Mickey's,5.6,,100,N,verified,Verified,2019-07-11 18:49:34,2020-03-17 15:14:37,https://brewerydb-images.s3.amazonaws.com/beer/qORz7E/upload_gBU048-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/qORz7E/upload_gBU048-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/qORz7E/upload_gBU048-large.png,https://brewerydb-images.s3.amazonaws.com/beer/qORz7E/upload_gBU048-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/qORz7E/upload_gBU048-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/qORz7E/upload_gBU048-contentAwareLarge.png,,,,100,8,8,North American Lager,2012-03-21 20:06:46,American-Style Malt Liquor,Malt Liquor,"High in starting gravity and alcoholic strength, this style is somewhat diverse. Some American malt liquors are just slightly stronger than American lagers, while others approach bock strength. Some residual sweetness is perceived. Hop rates are very low, contributing little bitterness and virtually no hop aroma or flavor. Perception of sweet-fruity esters and complex alcohols (though not solvent-like) are acceptable at low levels. Chill haze and diacetyl should not be perceived.",12,23,6.25,7.5,2,5,1.05,1.004,1.01,2012-03-21 20:06:46,2015-04-07 15:41:16,
sDAQv6,Mickey's Ice,Mickey's Ice,5.8,,94,N,verified,Verified,2012-01-03 02:43:42,2020-03-17 15:14:29,https://brewerydb-images.s3.amazonaws.com/beer/sDAQv6/upload_JawS64-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/sDAQv6/upload_JawS64-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/sDAQv6/upload_JawS64-large.png,https://brewerydb-images.s3.amazonaws.com/beer/sDAQv6/upload_JawS64-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/sDAQv6/upload_JawS64-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/sDAQv6/upload_JawS64-contentAwareLarge.png,,,,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,
JUjEnp,Miller Chill,Miller Chill,4.1,,94,N,verified,Verified,2012-01-03 02:43:42,2015-12-16 03:00:59,https://brewerydb-images.s3.amazonaws.com/beer/JUjEnp/upload_GAYBO1-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/JUjEnp/upload_GAYBO1-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/JUjEnp/upload_GAYBO1-large.png,https://brewerydb-images.s3.amazonaws.com/beer/JUjEnp/upload_GAYBO1-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/JUjEnp/upload_GAYBO1-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/JUjEnp/upload_GAYBO1-contentAwareLarge.png,,,,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,
ISlZaz,Miller Fortune,Miller Fortune,6.9,1.0,97,N,verified,Verified,2014-03-09 19:07:05,2015-12-17 10:55:12,https://brewerydb-images.s3.amazonaws.com/beer/ISlZaz/upload_XmA34Q-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/ISlZaz/upload_XmA34Q-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/ISlZaz/upload_XmA34Q-large.png,https://brewerydb-images.s3.amazonaws.com/beer/ISlZaz/upload_XmA34Q-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/ISlZaz/upload_XmA34Q-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/ISlZaz/upload_XmA34Q-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,97,8,8,North American Lager,2012-03-21 20:06:46,American-Style Premium Lager,American Premium Lager,"This style has low malt (and adjunct) sweetness, is medium bodied, and should contain no or a low percentage (less than 25%) of adjuncts. Color may be light straw to golden. Alcohol content and bitterness may also be greater. Hop aroma and flavor is low or negligible. Light fruity esters are acceptable. Chill haze and diacetyl should be absent. Note: Some beers marketed as ""premium"" (based on price) may not fit this definition.",6,15,4.3,5,2,6,1.044,1.01,1.014,2012-03-21 20:06:46,2015-04-07 15:40:04,
Y8Ar6h,Miller Genuine Draft,Miller Genuine Draft,4.66,1.0,94,N,verified,Verified,2012-01-03 02:43:42,2019-07-10 19:20:03,https://brewerydb-images.s3.amazonaws.com/beer/Y8Ar6h/upload_r6bhFI-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/Y8Ar6h/upload_r6bhFI-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/Y8Ar6h/upload_r6bhFI-large.png,https://brewerydb-images.s3.amazonaws.com/beer/Y8Ar6h/upload_r6bhFI-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/Y8Ar6h/upload_r6bhFI-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/Y8Ar6h/upload_r6bhFI-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,
voS2xG,Miller High Life,Miller High Life,5,1.0,94,N,verified,Verified,2012-01-03 02:43:42,2019-07-10 19:15:22,https://brewerydb-images.s3.amazonaws.com/beer/voS2xG/upload_sZpYvj-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/voS2xG/upload_sZpYvj-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/voS2xG/upload_sZpYvj-large.png,https://brewerydb-images.s3.amazonaws.com/beer/voS2xG/upload_sZpYvj-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/voS2xG/upload_sZpYvj-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/voS2xG/upload_sZpYvj-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,
KJIjyd,Miller Lite,Miller Lite,4.2,1.0,94,N,verified,Verified,2012-01-03 02:43:42,2019-07-10 19:13:09,https://brewerydb-images.s3.amazonaws.com/beer/KJIjyd/upload_7aovil-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/KJIjyd/upload_7aovil-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/KJIjyd/upload_7aovil-large.png,https://brewerydb-images.s3.amazonaws.com/beer/KJIjyd/upload_7aovil-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/KJIjyd/upload_7aovil-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/KJIjyd/upload_7aovil-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,11
yagN3u,Miller64,Miller64,2.8,1.0,94,N,verified,Verified,2012-01-03 02:43:42,2019-07-10 19:07:58,https://brewerydb-images.s3.amazonaws.com/beer/yagN3u/upload_s3QkjZ-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/yagN3u/upload_s3QkjZ-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/yagN3u/upload_s3QkjZ-large.png,https://brewerydb-images.s3.amazonaws.com/beer/yagN3u/upload_s3QkjZ-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/yagN3u/upload_s3QkjZ-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/yagN3u/upload_s3QkjZ-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,
65zNUD,Two Hats Lime,Two Hats Lime,4.2,1.0,94,N,verified,Verified,2018-06-05 16:42:22,2019-07-12 15:21:57,https://brewerydb-images.s3.amazonaws.com/beer/65zNUD/upload_aKtB9A-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/65zNUD/upload_aKtB9A-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/65zNUD/upload_aKtB9A-large.png,https://brewerydb-images.s3.amazonaws.com/beer/65zNUD/upload_aKtB9A-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/65zNUD/upload_aKtB9A-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/65zNUD/upload_aKtB9A-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,
