id,name,nameDisplay,abv,ibu,styleId,isRetired,status,statusDisplay,createDate,updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,availableId,available.id,available.name,available.description,year,style.ogMax,locationId,location.id,location.name,location.streetAddress,location.locality,location.postalCode,location.website,location.isPrimary,location.inPlanning,location.isClosed,location.openToPublic,location.locationType,location.locationTypeDisplay,location.countryIsoCode,location.status,location.statusDisplay,location.createDate,location.updateDate,location.country.isoCode,location.country.name,location.country.displayName,location.country.isoThree,location.country.numberCode,location.country.createDate,location.extendedAddress,location.region,location.phone,location.yearOpened
b0mE6Y,05.30.16 Tangerine IPA,05.30.16 Tangerine IPA,9.4,90,30,N,verified,Verified,2016-04-26 23:11:11,2016-04-28 14:49:18,https://brewerydb-images.s3.amazonaws.com/beer/b0mE6Y/upload_Q89vb2-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/b0mE6Y/upload_Q89vb2-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/b0mE6Y/upload_Q89vb2-large.png,https://brewerydb-images.s3.amazonaws.com/beer/b0mE6Y/upload_Q89vb2-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/b0mE6Y/upload_Q89vb2-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/b0mE6Y/upload_Q89vb2-contentAwareLarge.png,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FWiYZi,08.08.08 Vertical Epic Ale,08.08.08 Vertical Epic Ale,8.9,45,62,N,verified,Verified,2015-10-15 00:50:38,2016-01-11 21:44:09,https://brewerydb-images.s3.amazonaws.com/beer/FWiYZi/upload_fQcVbg-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/FWiYZi/upload_fQcVbg-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/FWiYZi/upload_fQcVbg-large.png,https://brewerydb-images.s3.amazonaws.com/beer/FWiYZi/upload_fQcVbg-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/FWiYZi/upload_fQcVbg-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/FWiYZi/upload_fQcVbg-contentAwareLarge.png,62,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Ale,Belgian Pale,"Belgian-style pale ales are characterized by low but noticeable hop bitterness, flavor, and aroma. Light to medium body and low malt aroma are typical. They are light amber to deep amber in color. Noble-type hops are commonly used. Low to medium fruity esters are evident in aroma and flavor. Low levels of phenolic spiciness from yeast byproducts may be perceived. Low caramel or toasted malt flavor is okay. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.",20,30,4,6,6,12,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sIms9K,11.11.11 Vertical Epic Ale - Red Wine Barrel-Aged,11.11.11 Vertical Epic Ale - Red Wine Barrel-Aged,9.4,65,63,N,verified,Verified,2018-05-10 23:43:33,2018-06-07 20:37:04,https://brewerydb-images.s3.amazonaws.com/beer/sIms9K/upload_nlvwfi-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/sIms9K/upload_nlvwfi-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/sIms9K/upload_nlvwfi-large.png,https://brewerydb-images.s3.amazonaws.com/beer/sIms9K/upload_nlvwfi-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/sIms9K/upload_nlvwfi-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/sIms9K/upload_nlvwfi-contentAwareLarge.png,63,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Strong Ale,Belgian Pale Strong,"Belgian pale strong ales are pale to golden in color with relatively light body for a beer of its alcoholic strength. Often brewed with light colored Belgian ""candy"" sugar, these beers are well attenuated. The perception of hop bitterness is medium-low to medium -high, with hop flavor and aroma also in this range. These beers are highly attenuated and have a perceptively deceiving high alcoholic character-being light to medium bodied rather than full bodied. The intensity of malt character should be low to medium, often surviving along with a complex fruitiness. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.",20,50,7,11,4,10,1.064,1.012,1.024,2012-03-21 20:06:46,2015-04-07 15:32:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todpTX,13th Anniversary Ale,13th Anniversary Ale,9.5,90,25,Y,verified,Verified,2012-01-03 02:42:36,2018-11-02 02:13:07,https://brewerydb-images.s3.amazonaws.com/beer/todpTX/upload_adoE6A-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/todpTX/upload_adoE6A-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/todpTX/upload_adoE6A-large.png,https://brewerydb-images.s3.amazonaws.com/beer/todpTX/upload_adoE6A-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/todpTX/upload_adoE6A-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/todpTX/upload_adoE6A-contentAwareLarge.png,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,3.0,3.0,Not Available,Beer is not currently available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w6nBIz,17 Anniversary Götterdämmerung IPA,17 Anniversary Götterdämmerung IPA,9.5,102,30,N,verified,Verified,2013-08-25 12:18:43,2015-12-17 05:22:09,https://brewerydb-images.s3.amazonaws.com/beer/w6nBIz/upload_lcOQuJ-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/w6nBIz/upload_lcOQuJ-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/w6nBIz/upload_lcOQuJ-large.png,https://brewerydb-images.s3.amazonaws.com/beer/w6nBIz/upload_lcOQuJ-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/w6nBIz/upload_lcOQuJ-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/w6nBIz/upload_lcOQuJ-contentAwareLarge.png,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,2.0,2.0,Limited,Limited availability.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR5L1F,18th Anniversary Ale,18th Anniversary Ale,8,75,30,N,verified,Verified,2014-07-17 14:45:22,2016-05-27 20:09:09,https://brewerydb-images.s3.amazonaws.com/beer/SR5L1F/upload_d8v91r-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/SR5L1F/upload_d8v91r-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/SR5L1F/upload_d8v91r-large.png,https://brewerydb-images.s3.amazonaws.com/beer/SR5L1F/upload_d8v91r-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/SR5L1F/upload_d8v91r-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/SR5L1F/upload_d8v91r-contentAwareLarge.png,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZQGP3X,19 Anniversary Thunderstruck IPA,19 Anniversary Thunderstruck IPA,8.7,95,31,N,verified,Verified,2015-08-26 13:50:39,2016-11-14 18:28:29,https://brewerydb-images.s3.amazonaws.com/beer/ZQGP3X/upload_3Cudwz-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/ZQGP3X/upload_3Cudwz-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/ZQGP3X/upload_3Cudwz-large.png,https://brewerydb-images.s3.amazonaws.com/beer/ZQGP3X/upload_3Cudwz-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/ZQGP3X/upload_3Cudwz-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/ZQGP3X/upload_3Cudwz-contentAwareLarge.png,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mttNd0,20th Anniversary Citracado IPA,20th Anniversary Citracado IPA,9,80,31,N,verified,Verified,2016-08-22 17:33:26,2016-08-22 17:34:11,https://brewerydb-images.s3.amazonaws.com/beer/mttNd0/upload_aPhwsR-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/mttNd0/upload_aPhwsR-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/mttNd0/upload_aPhwsR-large.png,https://brewerydb-images.s3.amazonaws.com/beer/mttNd0/upload_aPhwsR-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/mttNd0/upload_aPhwsR-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/mttNd0/upload_aPhwsR-contentAwareLarge.png,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR29vC,20th Anniversary Encore Series: 12th Anniversary Bitter Chocolate Oatmeal Stout,20th Anniversary Encore Series: 12th Anniversary Bitter Chocolate Oatmeal Stout,9.2,55,21,N,verified,Verified,2016-03-14 15:34:53,2017-09-08 17:43:50,,,,,,,21,1,1,British Origin Ales,2012-03-21 20:06:45,Oatmeal Stout,Oatmeal Stout,"Oatmeal stouts include oatmeal in their grist, resulting in a pleasant, full flavor and a smooth profile that is rich without being grainy. A roasted malt character which is caramel-like and chocolate-like should be evident - smooth and not bitter. Coffee-like roasted barley and roasted malt aromas (chocolate and nut-like) are prominent. Color is dark brown to black. Bitterness is moderate, not high. Hop flavor and aroma are optional but should not overpower the overall balance if present. This is a medium- to full- bodied beer, with minimal fruity esters. Diacetyl should be absent or at extremely low levels. Original gravity range and alcohol levels are indicative of English tradition of oatmeal stout.",20,40,3.8,6,20,20,1.038,1.008,1.02,2012-03-21 20:06:45,2015-04-07 15:22:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EbgrlF,20th Anniversary Encore Series: Stone 02.02.02 Vertical Epic Ale,20th Anniversary Encore Series: Stone 02.02.02 Vertical Epic Ale,7.5,40,63,N,verified,Verified,2016-11-12 19:48:45,2018-06-27 14:58:38,,,,,,,63,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Strong Ale,Belgian Pale Strong,"Belgian pale strong ales are pale to golden in color with relatively light body for a beer of its alcoholic strength. Often brewed with light colored Belgian ""candy"" sugar, these beers are well attenuated. The perception of hop bitterness is medium-low to medium -high, with hop flavor and aroma also in this range. These beers are highly attenuated and have a perceptively deceiving high alcoholic character-being light to medium bodied rather than full bodied. The intensity of malt character should be low to medium, often surviving along with a complex fruitiness. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.",20,50,7,11,4,10,1.064,1.012,1.024,2012-03-21 20:06:46,2015-04-07 15:32:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
