id,name,nameDisplay,abv,styleId,isRetired,status,statusDisplay,createDate,updateDate,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,availableId,available.id,available.name,available.description,ibu,style.category.description,style.category.updateDate,style.ogMax
O78ldO,1904 American Red Lager,1904 American Red Lager,5,93,N,verified,Verified,2017-06-19 14:11:51,2017-06-19 14:11:51,93,8,8,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,,,,,,,,,,,,,,
bdFoir,Bare Knuckle Stout,Bare Knuckle Stout,,42,N,verified,Verified,2012-01-03 02:42:45,2012-03-22 13:04:59,42,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Stout,American Stout,"Initial low to medium malt sweetness with a degree of caramel, chocolate and/or roasted coffee flavor with a distinctive dryroasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight roasted malt acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Hop bitterness may be moderate to high. Hop aroma and flavor is moderate to high, often with American citrus-type and/or resiny hop character. The perception of fruity esters is low. Roasted malt/barley astringency may be low but not excessive. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",35,60,5.7,8.8,40,40,1.05,1.01,1.022,2012-03-21 20:06:46,2015-04-07 15:28:43,,,,,,,,,,,,,,
3JrTod,Beach Bum Blonde Ale,Beach Bum Blonde Ale,5.4,61,N,verified,Verified,2012-01-03 02:42:46,2012-03-22 13:05:04,61,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Blonde Ale,Belgian Blonde,"Belgian-style blond ales are characterized by low yet evident hop bitterness, flavor, and sometimes aroma. Light to medium body and low malt aroma with a sweet, spiced and a low to medium fruity-ester character orchestrated in flavor and aroma. Sugar may be used to lighten perceived body. They are blonde to golden in color. Noble-type hops are commonly used. Low levels of phenolic spiciness from yeast byproducts may be perceived. Diacetyl should not be perceived. Acidic character should not be present. Chill haze is allowable at cold temperatures.",15,30,6,7.8,4,7,1.054,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:01,,,,,,,,,,,,,,
4fKoj3,Black Crown,Black Crown,6,101,N,verified,Verified,2012-11-16 14:38:40,2015-12-16 21:01:08,101,8,8,North American Lager,2012-03-21 20:06:46,American-Style Amber Lager,American Amber Lager,"American-style amber lagers are light amber to amber or copper colored. They are medium bodied. There is a noticeable degree of caramel-type malt character in flavor and often in aroma. This is a broad category in which the hop bitterness, flavor, and aroma may be accentuated or may only be present at relatively low levels, yet noticeable. Fruity esters, diacetyl, and chill haze should be absent.",18,30,4.8,5.4,6,14,1.042,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:41:26,https://brewerydb-images.s3.amazonaws.com/beer/4fKoj3/upload_Nn1p0M-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/4fKoj3/upload_Nn1p0M-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/4fKoj3/upload_Nn1p0M-large.png,https://brewerydb-images.s3.amazonaws.com/beer/4fKoj3/upload_Nn1p0M-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/4fKoj3/upload_Nn1p0M-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/4fKoj3/upload_Nn1p0M-contentAwareLarge.png,,,,,,,,
8MMa77,Bud Dry,Bud Dry,5,94,N,verified,Verified,2012-01-03 02:42:55,2015-04-08 16:48:08,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,,,,,,,,,,,,,,
W2dlxg,Bud Extra,Bud Extra,6.6,124,N,verified,Verified,2012-01-03 02:42:55,2015-06-11 20:13:13,124,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Herb and Spice Beer,Spice Beer,"Herb beers use herbs or spices (derived from roots, seeds, fruits, vegetable, flowers, etc.) other than or in addition to hops to create a distinct (ranging from subtle to intense) character, though individual characters of herbs and/or spices used may not always be identifiable. Under hopping often, but not always, allows the spice or herb to contribute to the flavor profile. Positive evaluations are significantly based on perceived balance of flavors. Note: Chili-flavored beers that emphasize heat rather than chili flavor should be entered as a ""spiced"" beer.  A statement by the brewer explaining what herbs or spices are used is essential in order for fair assessment in competitions. Specifying a style upon which the beer is based may help evaluation. If this beer is a classic style with an herb or spice, the brewer should specify the classic style. If no Chocolate or Coffee category exists in a competition, then chocolate and coffee beers should be entered in this category.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:45,,,,,,,,,,,,,,
qGhR1j,Bud Ice,Bud Ice,5.5,97,N,verified,Verified,2012-01-03 02:42:55,2015-12-16 03:44:30,97,8,8,North American Lager,2012-03-21 20:06:46,American-Style Premium Lager,American Premium Lager,"This style has low malt (and adjunct) sweetness, is medium bodied, and should contain no or a low percentage (less than 25%) of adjuncts. Color may be light straw to golden. Alcohol content and bitterness may also be greater. Hop aroma and flavor is low or negligible. Light fruity esters are acceptable. Chill haze and diacetyl should be absent. Note: Some beers marketed as ""premium"" (based on price) may not fit this definition.",6,15,4.3,5,2,6,1.044,1.01,1.014,2012-03-21 20:06:46,2015-04-07 15:40:04,https://brewerydb-images.s3.amazonaws.com/beer/qGhR1j/upload_HNwvTX-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/qGhR1j/upload_HNwvTX-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/qGhR1j/upload_HNwvTX-large.png,https://brewerydb-images.s3.amazonaws.com/beer/qGhR1j/upload_HNwvTX-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/qGhR1j/upload_HNwvTX-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/qGhR1j/upload_HNwvTX-contentAwareLarge.png,1.0,1.0,Year Round,Available year round as a staple beer.,,,,
SaQFBA,Bud Ice Light,Bud Ice Light,4.1,97,N,verified,Verified,2012-01-03 02:42:55,2015-10-27 18:30:25,97,8,8,North American Lager,2012-03-21 20:06:46,American-Style Premium Lager,American Premium Lager,"This style has low malt (and adjunct) sweetness, is medium bodied, and should contain no or a low percentage (less than 25%) of adjuncts. Color may be light straw to golden. Alcohol content and bitterness may also be greater. Hop aroma and flavor is low or negligible. Light fruity esters are acceptable. Chill haze and diacetyl should be absent. Note: Some beers marketed as ""premium"" (based on price) may not fit this definition.",6,15,4.3,5,2,6,1.044,1.01,1.014,2012-03-21 20:06:46,2015-04-07 15:40:04,,,,,,,,,,,,,,
dimtrs,Bud Light,Bud Light,4.2,94,N,verified,Verified,2012-01-03 02:42:55,2019-06-05 14:10:30,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,https://brewerydb-images.s3.amazonaws.com/beer/dimtrs/upload_794WgV-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/dimtrs/upload_794WgV-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/dimtrs/upload_794WgV-large.png,https://brewerydb-images.s3.amazonaws.com/beer/dimtrs/upload_794WgV-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/dimtrs/upload_794WgV-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/dimtrs/upload_794WgV-contentAwareLarge.png,1.0,1.0,Year Round,Available year round as a staple beer.,10,,,
Abbvjh,Bud Light Apple,Bud Light Apple,4.2,94,N,verified,Verified,2015-11-06 15:27:52,2015-12-18 05:45:16,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,https://brewerydb-images.s3.amazonaws.com/beer/Abbvjh/upload_mTkDoR-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/Abbvjh/upload_mTkDoR-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/Abbvjh/upload_mTkDoR-large.png,https://brewerydb-images.s3.amazonaws.com/beer/Abbvjh/upload_mTkDoR-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/Abbvjh/upload_mTkDoR-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/Abbvjh/upload_mTkDoR-contentAwareLarge.png,,,,,,,,
