id,name,nameDisplay,abv,ibu,availableId,styleId,isRetired,status,statusDisplay,createDate,updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,available.id,available.name,available.description,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,style.ogMax,year
zfP2fK,12th Of Never,12th Of Never,5.5,45,1.0,25,N,verified,Verified,2016-08-03 23:25:54,2019-01-04 19:55:36,https://brewerydb-images.s3.amazonaws.com/beer/zfP2fK/upload_tzWBox-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/zfP2fK/upload_tzWBox-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/zfP2fK/upload_tzWBox-large.png,https://brewerydb-images.s3.amazonaws.com/beer/zfP2fK/upload_tzWBox-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/zfP2fK/upload_tzWBox-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/zfP2fK/upload_tzWBox-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,
Au0v9G,A Little Sumpin' Extra,A Little Sumpin' Extra,8.7,,4.0,31,N,verified,Verified,2014-04-17 12:52:38,2018-05-01 11:57:36,https://brewerydb-images.s3.amazonaws.com/beer/Au0v9G/upload_K1Zc5E-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/Au0v9G/upload_K1Zc5E-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/Au0v9G/upload_K1Zc5E-large.png,https://brewerydb-images.s3.amazonaws.com/beer/Au0v9G/upload_K1Zc5E-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/Au0v9G/upload_K1Zc5E-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/Au0v9G/upload_K1Zc5E-contentAwareLarge.png,4.0,Seasonal,"Available at the same time of year, every year.",31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,
cBipoa,A Little Sumpin' Hazy Ale,A Little Sumpin' Hazy Ale,7.2,30,,172,N,verified,Verified,2019-07-27 14:06:28,2019-07-27 14:09:29,,,,,,,,,,172,3,3,North American Origin Ales,2012-03-21 20:06:45,Juicy or Hazy India Pale Ale,Juicy or Hazy IPA,"Color: Straw to deep gold

Clarity: Low to very high degree of cloudiness is typical of these beers. Starch, yeast, hop, protein and/or other compounds contribute to a wide range of hazy appearance within this category.

Perceived Malt Aroma & Flavor: Low to low-medium malt aroma and flavor may be present

Perceived Hop Aroma & Flavor: Medium-high to very high hop aroma and flavor are present, with attributes typical of hops from any origin

Perceived Bitterness: Medium-low to medium

Fermentation Characteristics: Low to medium fruity-estery aroma and ﬂavor may be present, but are usually overwhelmed by hop fruitiness. Diacetyl should not be perceived.

Body: Medium-low to medium-high. Perceived silky or full mouthfeel may contribute to overall flavor profile.

Additional notes: Grist may include a small amount of oat, wheat or other adjuncts to promote haziness. Descriptors such as “juicy” are often used to describe the taste and aroma hop-derived attributes present in these beers.",50,70,6.3,7.5,4,7,1.06,1.008,1.016,2018-08-16 14:03:57,,1.07,
svXHfu,A Little Sumpin' Sumpin',A Little Sumpin' Sumpin',7.5,64.2,1.0,25,N,verified,Verified,2012-01-03 02:43:37,2018-06-12 19:56:13,https://brewerydb-images.s3.amazonaws.com/beer/svXHfu/upload_i4Mwls-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/svXHfu/upload_i4Mwls-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/svXHfu/upload_i4Mwls-large.png,https://brewerydb-images.s3.amazonaws.com/beer/svXHfu/upload_i4Mwls-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/svXHfu/upload_i4Mwls-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/svXHfu/upload_i4Mwls-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,
L0eAAB,Aunt Sally,Aunt Sally,5.7,,,40,N,verified,Verified,2016-03-28 15:46:30,2018-08-15 17:51:15,https://brewerydb-images.s3.amazonaws.com/beer/L0eAAB/upload_wSYV9H-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/L0eAAB/upload_wSYV9H-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/L0eAAB/upload_wSYV9H-large.png,https://brewerydb-images.s3.amazonaws.com/beer/L0eAAB/upload_wSYV9H-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/L0eAAB/upload_wSYV9H-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/L0eAAB/upload_wSYV9H-contentAwareLarge.png,,,,40,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Sour Ale,Sour,"American sour ales can be very light to black or take on the color of added fruits or other ingredients. There is no Brettanomyces character in this style of beer. Wood- and barrel-aged sour ales are classified elsewhere. If acidity is present it is usually in the form of lactic, acetic and other organic acids naturally developed with acidified malt in the mash or in fermentation by the use of various microorganisms including certain bacteria and yeasts. Acidic character can be a complex balance of several types of acid and characteristics of age. The evolution of natural acidity develops balanced complexity. Residual flavors that come from liquids previously aged in a barrel such as bourbon or sherry should not be present. Wood vessels may be used during the fermentation and aging process, but wood-derived flavors such as vanillin must not be present. In darker versions, roasted malt, caramel-like and chocolate-like characters should be subtle in both flavor and aroma. American sour may have evident full range of hop aroma and hop bitterness with a full range of body. Estery and fruity-ester characters are evident, sometimes moderate and sometimes intense, yet balanced. Diacetyl and sweet corn-like dimethylsulfide (DMS) should not be perceived. Chill haze, bacteria and yeast-induced haze are allowable at low to medium levels at any temperature. Fruited American-Style Sour Ales will exhibit fruit flavors in harmonious balance with other characters.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:28:32,,
2WbcmH,Aunt Sally w/ Berries & Mint,Aunt Sally w/ Berries & Mint,5.7,,,40,N,verified,Verified,2018-12-28 16:51:18,2018-12-28 16:51:34,https://brewerydb-images.s3.amazonaws.com/beer/2WbcmH/upload_cV2cza-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/2WbcmH/upload_cV2cza-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/2WbcmH/upload_cV2cza-large.png,https://brewerydb-images.s3.amazonaws.com/beer/2WbcmH/upload_cV2cza-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/2WbcmH/upload_cV2cza-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/2WbcmH/upload_cV2cza-contentAwareLarge.png,,,,40,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Sour Ale,Sour,"American sour ales can be very light to black or take on the color of added fruits or other ingredients. There is no Brettanomyces character in this style of beer. Wood- and barrel-aged sour ales are classified elsewhere. If acidity is present it is usually in the form of lactic, acetic and other organic acids naturally developed with acidified malt in the mash or in fermentation by the use of various microorganisms including certain bacteria and yeasts. Acidic character can be a complex balance of several types of acid and characteristics of age. The evolution of natural acidity develops balanced complexity. Residual flavors that come from liquids previously aged in a barrel such as bourbon or sherry should not be present. Wood vessels may be used during the fermentation and aging process, but wood-derived flavors such as vanillin must not be present. In darker versions, roasted malt, caramel-like and chocolate-like characters should be subtle in both flavor and aroma. American sour may have evident full range of hop aroma and hop bitterness with a full range of body. Estery and fruity-ester characters are evident, sometimes moderate and sometimes intense, yet balanced. Diacetyl and sweet corn-like dimethylsulfide (DMS) should not be perceived. Chill haze, bacteria and yeast-induced haze are allowable at low to medium levels at any temperature. Fruited American-Style Sour Ales will exhibit fruit flavors in harmonious balance with other characters.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:28:32,,
JzR6cK,Bavarian-Styled Doppel Weizen,Bavarian-Styled Doppel Weizen,9,,2.0,53,N,verified,Verified,2015-10-12 15:10:57,2015-12-18 03:55:26,https://brewerydb-images.s3.amazonaws.com/beer/JzR6cK/upload_SGoWbZ-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/JzR6cK/upload_SGoWbZ-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/JzR6cK/upload_SGoWbZ-large.png,https://brewerydb-images.s3.amazonaws.com/beer/JzR6cK/upload_SGoWbZ-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/JzR6cK/upload_SGoWbZ-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/JzR6cK/upload_SGoWbZ-contentAwareLarge.png,2.0,Limited,Limited availability.,53,4,4,German Origin Ales,2012-03-21 20:06:46,South German-Style Weizenbock / Weissbock,Weizenbock,"This style can be either pale or dark (golden to dark brown in color) and has a high starting gravity and alcohol content. The malty sweetness of a Weizenbock is balanced with a clove-like phenolic and fruity-estery banana element to produce a wellrounded aroma and flavor. As is true with all German wheat beers, hop bitterness is low and carbonation is high. Hop flavor and aroma are absent. It has a medium to full body. If dark, a mild roast malt character should emerge in flavor and to a lesser degree in the aroma. If this is served with yeast the beer may be appropriately very cloudy. No diacetyl should be perceived.",15,35,6.9,9.3,5,30,1.066,1.016,1.028,2012-03-21 20:06:46,2015-04-07 15:30:15,,
BJymUV,Bitter Oats,Bitter Oats,10.5,,,31,N,verified,Verified,2015-12-27 18:41:05,2015-12-27 18:41:05,,,,,,,,,,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,
HmjnXt,Born Again Yesterday,Born Again Yesterday,7.5,55,,26,N,verified,Verified,2016-07-04 11:25:06,2018-09-17 19:38:21,https://brewerydb-images.s3.amazonaws.com/beer/HmjnXt/upload_dPMWXs-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/HmjnXt/upload_dPMWXs-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/HmjnXt/upload_dPMWXs-large.png,https://brewerydb-images.s3.amazonaws.com/beer/HmjnXt/upload_dPMWXs-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/HmjnXt/upload_dPMWXs-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/HmjnXt/upload_dPMWXs-contentAwareLarge.png,,,,26,3,3,North American Origin Ales,2012-03-21 20:06:45,"Fresh ""Wet"" Hop Ale",Wet Hop Ale,"Any style of ale can be made into a fresh hop or wet hop version. These ales are hopped predominantly with fresh (newly harvested and kilned) and/or undried (“wet”) hops. These beers will exhibit especially aromas and flavors of green, almost chlorophyll-like or other fresh hop characters, in harmony with the characters of the base style of the beer. These beers may be aged and enjoyed after the initial “fresh-hop” character diminishes. Unique character from “aged” fresh hop beers may emerge, but they have yet to be defined.",,,,,,,,,,2012-03-21 20:06:45,2015-04-07 15:25:25,,
QdPbTF,Born Yesterday,Born Yesterday,7.5,,7.0,25,N,verified,Verified,2015-10-28 14:00:55,2018-09-17 19:33:11,https://brewerydb-images.s3.amazonaws.com/beer/QdPbTF/upload_uDf3yZ-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/QdPbTF/upload_uDf3yZ-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/QdPbTF/upload_uDf3yZ-large.png,https://brewerydb-images.s3.amazonaws.com/beer/QdPbTF/upload_uDf3yZ-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/QdPbTF/upload_uDf3yZ-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/QdPbTF/upload_uDf3yZ-contentAwareLarge.png,7.0,Fall,Available during the fall months.,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,
