id,name,nameDisplay,abv,styleId,isRetired,status,statusDisplay,createDate,updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,ibu,availableId,available.id,available.name,available.description,year,style.ogMax
c4f2KE,'Murican Pilsner,'Murican Pilsner,5.5,98,N,verified,Verified,2013-08-19 11:58:12,2015-12-17 06:02:53,https://brewerydb-images.s3.amazonaws.com/beer/c4f2KE/upload_jjKJ7g-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/c4f2KE/upload_jjKJ7g-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/c4f2KE/upload_jjKJ7g-large.png,https://brewerydb-images.s3.amazonaws.com/beer/c4f2KE/upload_jjKJ7g-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/c4f2KE/upload_jjKJ7g-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/c4f2KE/upload_jjKJ7g-contentAwareLarge.png,98,8,8,North American Lager,2012-03-21 20:06:46,American-Style Pilsener,American Pilsener,"This classic and unique pre-Prohibition American-style Pilsener is straw to deep gold in color. Hop bitterness, flavor and aroma are medium to high, and use of noble-type hops for flavor and aroma is preferred. Up to 25 percent corn and/or rice in the grist should be used. Malt flavor and aroma are medium. This is a light-medium to medium-bodied beer. Sweet corn-like dimethylsulfide (DMS), fruity esters and American hop-derived citrus flavors or aromas should not be perceived. Diacetyl is not acceptable. There should be no chill haze. Competition organizers may wish to subcategorize this style into rice and corn subcategories.",25,40,5,6,3,6,1.045,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:40:08,,,,,,,
zTTWa2,11.5° PLATO,11.5° PLATO,4.5,164,N,verified,Verified,2016-08-09 14:44:42,2016-08-09 14:45:17,,,,,,,164,3,3,North American Origin Ales,2012-03-21 20:06:45,Session India Pale Ale,Session IPA,"Session India Pale Ales are gold to copper. Chill haze is allowable at cold temperatures and hop haze is allowable at any temperature. Fruity-ester aroma is light to moderate. Hop aroma is medium to high with qualities from a wide variety of hops from all over the world. Low to medium maltiness is present. Hop flavor is strong, characterized by flavors from a wide variety of hops. Hop bitterness is medium to high. Fruity-ester flavors are low to moderate. Diacetyl is absent or at very low levels. Body is low to medium.",,,,,,,,,,2015-04-07 17:07:27,,35,,,,,,
qGDeH1,2 x 4,2 x 4,8.7,70,N,verified,Verified,2012-01-03 02:42:37,2015-12-16 07:32:05,https://brewerydb-images.s3.amazonaws.com/beer/qGDeH1/upload_yrbAAo-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/qGDeH1/upload_yrbAAo-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/qGDeH1/upload_yrbAAo-large.png,https://brewerydb-images.s3.amazonaws.com/beer/qGDeH1/upload_yrbAAo-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/qGDeH1/upload_yrbAAo-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/qGDeH1/upload_yrbAAo-contentAwareLarge.png,70,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Other Belgian-Style Ales,Belgian Ale,"Recognizing the uniqueness and traditions of several other styles of Belgian Ales, the beers entered in this category will be assessed on the merits that they do not fit existing style guidelines and information that the brewer provides explaining the history and tradition of the style. Balance of character is a key component when assessing these beers. Barrel or wood-aged entries in competitions may be directed to other categories by competition director. In competitions the brewer must provide the historical or regional tradition of the style, or his interpretation of the style, in order to be assessed properly by the judges.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:33:05,,,,,,,
uIgENV,20th Street Ale Citra,20th Street Ale Citra,7.3,125,N,verified,Verified,2012-11-17 14:40:19,2018-11-06 20:22:48,https://brewerydb-images.s3.amazonaws.com/beer/uIgENV/upload_Y3uGi9-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/uIgENV/upload_Y3uGi9-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/uIgENV/upload_Y3uGi9-large.png,https://brewerydb-images.s3.amazonaws.com/beer/uIgENV/upload_Y3uGi9-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/uIgENV/upload_Y3uGi9-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/uIgENV/upload_Y3uGi9-contentAwareLarge.png,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,,,,,,
WcP2Ww,20th Street Ale Crystal,20th Street Ale Crystal,7.3,125,N,verified,Verified,2012-11-17 14:40:35,2018-11-06 20:23:59,https://brewerydb-images.s3.amazonaws.com/beer/WcP2Ww/upload_fLddgs-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/WcP2Ww/upload_fLddgs-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/WcP2Ww/upload_fLddgs-large.png,https://brewerydb-images.s3.amazonaws.com/beer/WcP2Ww/upload_fLddgs-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/WcP2Ww/upload_fLddgs-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/WcP2Ww/upload_fLddgs-contentAwareLarge.png,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,,,,,,
HyxQE4,20th Street Ale Magnum,20th Street Ale Magnum,7.3,125,N,verified,Verified,2012-11-17 14:40:02,2018-11-06 20:22:35,https://brewerydb-images.s3.amazonaws.com/beer/HyxQE4/upload_ZXeOiC-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/HyxQE4/upload_ZXeOiC-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/HyxQE4/upload_ZXeOiC-large.png,https://brewerydb-images.s3.amazonaws.com/beer/HyxQE4/upload_ZXeOiC-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/HyxQE4/upload_ZXeOiC-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/HyxQE4/upload_ZXeOiC-contentAwareLarge.png,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,,,,,,
7z8RTq,3 Weight,3 Weight,4,164,N,verified,Verified,2017-07-23 21:47:32,2017-07-23 21:47:32,,,,,,,164,3,3,North American Origin Ales,2012-03-21 20:06:45,Session India Pale Ale,Session IPA,"Session India Pale Ales are gold to copper. Chill haze is allowable at cold temperatures and hop haze is allowable at any temperature. Fruity-ester aroma is light to moderate. Hop aroma is medium to high with qualities from a wide variety of hops from all over the world. Low to medium maltiness is present. Hop flavor is strong, characterized by flavors from a wide variety of hops. Hop bitterness is medium to high. Fruity-ester flavors are low to moderate. Diacetyl is absent or at very low levels. Body is low to medium.",,,,,,,,,,2015-04-07 17:07:27,,,,,,,,
f5CWb6,"30th Anniversary - Charlie, Fred & Ken's Bock","30th Anniversary - Charlie, Fred & Ken's Bock",8.3,89,Y,verified,Verified,2014-06-17 20:00:02,2018-11-02 02:13:07,https://brewerydb-images.s3.amazonaws.com/beer/f5CWb6/upload_PSAyRK-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/f5CWb6/upload_PSAyRK-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/f5CWb6/upload_PSAyRK-large.png,https://brewerydb-images.s3.amazonaws.com/beer/f5CWb6/upload_PSAyRK-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/f5CWb6/upload_PSAyRK-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/f5CWb6/upload_PSAyRK-contentAwareLarge.png,89,7,7,European-germanic Lager,2012-03-21 20:06:46,German-Style Heller Bock/Maibock,Maibock,"The German word helle means light colored, and as such, a heller Bock is light straw to deep golden in color. Maibocks are also light-colored bocks. The sweet malty character should come through in the aroma and flavor. A lightly toasted and/or bready malt character is often evident. Roast or heavy toast/caramel malt character should be absent. Body is medium to full. Hop bitterness should be low, while noble-type hop aroma and flavor may be at low to medium levels. Bitterness increases with gravity. Fruity esters may be perceived at low levels. Diacetyl should be absent. Chill haze should not be perceived.",20,38,6,8,4,10,1.066,1.012,1.02,2012-03-21 20:06:46,2015-04-07 15:39:04,,3.0,3.0,Not Available,Beer is not currently available.,,
0KEzfx,30th Anniversary - Fritz and Ken's Ale,30th Anniversary - Fritz and Ken's Ale,9.2,43,Y,verified,Verified,2014-02-04 22:15:20,2018-11-02 02:13:07,https://brewerydb-images.s3.amazonaws.com/beer/0KEzfx/upload_9zYMPq-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/0KEzfx/upload_9zYMPq-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/0KEzfx/upload_9zYMPq-large.png,https://brewerydb-images.s3.amazonaws.com/beer/0KEzfx/upload_9zYMPq-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/0KEzfx/upload_9zYMPq-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/0KEzfx/upload_9zYMPq-contentAwareLarge.png,43,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Stout,American Imperial Stout,"Black in color, American-style imperial stouts typically have a high alcohol content. Generally characterized as very robust. The extremely rich malty flavor and aroma are balanced with assertive hopping and fruity-ester characteristics. Bitterness should be moderately high to very high and balanced with full sweet malt character. Roasted malt astringency and bitterness can be moderately perceived but should not overwhelm the overall character. Hop aroma is usually moderately-high to overwhelmingly hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.",50,80,7,12,40,40,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:49,,3.0,3.0,Not Available,Beer is not currently available.,,
KjumXn,30th Anniversary - Grand Cru,30th Anniversary - Grand Cru,9.2,138,N,verified,Verified,2018-05-10 17:15:23,2018-06-12 19:32:44,,,,,,,138,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Other Strong Ale or Lager,Strong Ale,"Any style of beer can be made stronger than the classic style guidelines. The goal should be to reach a balance between the style's character and the additional alcohol. Refer to this guide when making styles stronger and appropriately identify the style created (for example: double alt, triple fest, or quadruple Pilsener).",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:47:08,,,,,,,
